workerid,rt,trial_type,response,pass
0,5635,catch,Q,1
1,5652,catch,Q,1
2,3759,catch,P,1
3,6477,catch,Q,1
4,3757,catch,P,1
5,4358,catch,Q,1
6,6786,catch,P,1
7,4576,catch,P,1
8,5185,catch,P,1
9,9894,catch,Q,1
10,10216,catch,P,1
11,4741,catch,P,1
12,4393,catch,P,0
13,7576,catch,P,1
14,3597,catch,Q,1
15,5863,catch,P,1
16,3327,catch,Q,1
17,4719,catch,P,1
18,5332,catch,P,1
19,5643,catch,P,1
20,3104,catch,P,1
21,4434,catch,Q,1
22,3036,catch,Q,1
23,7526,catch,Q,1
24,3098,catch,Q,1
25,2764,catch,Q,1
26,3049,catch,P,1
27,8023,catch,P,1
28,12281,catch,P,1
29,5553,catch,P,1
30,5280,catch,P,1
31,4856,catch,Q,1
32,8377,catch,Q,1
33,6770,catch,Q,1
34,3496,catch,P,1
35,8439,catch,P,1
36,5650,catch,Q,1
37,6943,catch,Q,1
38,12754,catch,Q,1
39,4396,catch,P,1
40,9404,catch,Q,1
41,3799,catch,Q,1
42,9061,catch,P,1
43,4851,catch,Q,1
44,9710,catch,Q,1
45,8712,catch,Q,1
46,5376,catch,Q,1
47,3964,catch,Q,1
48,3476,catch,P,1
49,4078,catch,Q,1
50,4839,catch,Q,1
51,8086,catch,Q,1
52,3681,catch,Q,1
53,6105,catch,Q,1
54,3170,catch,Q,1
55,3589,catch,P,1
56,5708,catch,P,1
57,5694,catch,P,1
58,8020,catch,P,1
59,6082,catch,Q,1
60,8039,catch,P,1
61,5986,catch,Q,1
62,3941,catch,P,1
63,5980,catch,Q,1
64,8228,catch,P,1
65,4223,catch,Q,1
66,14433,catch,Q,1
67,18878,catch,P,1
68,8954,catch,Q,1
69,6277,catch,Q,1
70,6135,catch,Q,1
71,3981,catch,P,1
72,6886,catch,Q,1
73,4828,catch,P,1
74,5742,catch,Q,0
75,5519,catch,P,1
76,5033,catch,P,1
77,4001,catch,Q,1
78,5794,catch,Q,1
79,6701,catch,Q,1
80,3776,catch,Q,1
81,6384,catch,Q,1
82,7470,catch,Q,1
83,4157,catch,P,1
84,6780,catch,P,1
85,4613,catch,P,1
86,5230,catch,P,1
87,9158,catch,P,1
88,8161,catch,P,0
89,7089,catch,P,1
90,4637,catch,Q,1
91,4673,catch,Q,1
92,6792,catch,Q,1
93,4412,catch,P,1
94,5902,catch,P,1
95,5990,catch,P,1
96,5723,catch,P,1
97,14745,catch,Q,0
98,4116,catch,P,1
99,5478,catch,P,1
