"workerid","rt","trial_type","response","pass"
0,8338,"catch","P",1
1,5303,"catch","Q",1
2,7918,"catch","Q",1
3,12380,"catch","Q",1
4,8411,"catch","Q",1
5,14363,"catch","P",0
6,7379,"catch","Q",1
7,8131,"catch","P",1
8,5390,"catch","Q",1
9,4849,"catch","P",1
10,5610,"catch","P",1
11,3207,"catch","Q",1
12,6574,"catch","Q",1
13,11618,"catch","P",1
14,5974,"catch","Q",1
15,4204,"catch","P",1
16,4650,"catch","Q",1
17,7689,"catch","P",1
18,3760,"catch","Q",1
19,26657,"catch","P",1
20,11919,"catch","Q",1
21,5019,"catch","P",1
22,9459,"catch","P",1
23,3825,"catch","P",1
24,7818,"catch","P",1
25,54258,"catch","Q",1
26,5528,"catch","P",1
27,7834,"catch","Q",1
28,58822,"catch","Q",1
29,7211,"catch","P",1
30,3654,"catch","Q",1
31,8628,"catch","P",1
32,8142,"catch","P",1
33,12200,"catch","Q",1
34,4536,"catch","Q",1
35,6289,"catch","Q",1
36,4285,"catch","P",1
37,8046,"catch","P",1
38,6241,"catch","Q",1
39,5403,"catch","P",1
40,7863,"catch","Q",1
41,4414,"catch","Q",1
42,5946,"catch","Q",1
43,11172,"catch","Q",1
44,19711,"catch","Q",1
45,5776,"catch","P",1
46,6795,"catch","P",1
47,7032,"catch","P",1
48,7489,"catch","Q",0
49,6980,"catch","Q",1
50,6125,"catch","Q",1
51,6586,"catch","Q",1
52,9752,"catch","Q",1
53,7621,"catch","P",1
54,3399,"catch","P",1
55,2971,"catch","P",1
56,6901,"catch","P",1
57,6011,"catch","P",1
58,9998,"catch","P",1
59,6070,"catch","P",0
60,8990,"catch","Q",1
61,6456,"catch","P",1
62,8853,"catch","Q",1
63,7963,"catch","P",1
64,5550,"catch","Q",1
65,6692,"catch","P",1
66,5399,"catch","Q",1
67,4218,"catch","P",1
68,10655,"catch","P",1
69,6254,"catch","Q",1
70,3549,"catch","P",1
71,1755,"catch","P",1
72,7513,"catch","Q",1
73,5193,"catch","Q",1
74,8038,"catch","P",1
75,4708,"catch","Q",1
76,10441,"catch","Q",1
77,4095,"catch","P",1
78,7195,"catch","Q",1
79,5729,"catch","P",1
80,7805,"catch","Q",1
81,6084,"catch","P",1
82,7961,"catch","P",1
83,8428,"catch","P",1
84,9356,"catch","P",1
85,11157,"catch","Q",1
86,7335,"catch","Q",1
87,4466,"catch","P",1
88,5043,"catch","P",1
89,7043,"catch","P",1
90,7714,"catch","P",1
91,7772,"catch","P",1
92,6353,"catch","Q",1
93,9749,"catch","P",1
94,8458,"catch","Q",1
95,9031,"catch","P",1
96,5500,"catch","Q",1
97,3963,"catch","Q",1
98,6068,"catch","Q",1
99,8273,"catch","P",1
100,4475,"catch","P",1
101,6585,"catch","P",0
102,7172,"catch","Q",1
103,6547,"catch","P",1
104,8724,"catch","P",1
105,10570,"catch","P",1
106,6899,"catch","P",1
107,8012,"catch","Q",1
108,6732,"catch","Q",1
109,4196,"catch","Q",1
110,8224,"catch","Q",1
111,5349,"catch","Q",1
112,8782,"catch","Q",1
113,6913,"catch","Q",1
114,9744,"catch","Q",1
115,7638,"catch","Q",1
116,5525,"catch","P",1
117,13169,"catch","P",0
118,10427,"catch","Q",1
119,6451,"catch","Q",1
120,9951,"catch","Q",1
121,10584,"catch","Q",1
122,9110,"catch","Q",1
123,12316,"catch","P",1
124,9978,"catch","Q",1
125,4866,"catch","P",1
126,5360,"catch","Q",1
127,6535,"catch","P",1
128,7922,"catch","Q",1
129,7381,"catch","P",1
130,5938,"catch","P",1
131,13528,"catch","Q",1
132,14459,"catch","Q",1
133,6644,"catch","P",1
134,4910,"catch","P",1
135,6560,"catch","P",1
136,6584,"catch","P",1
137,4828,"catch","Q",1
138,4776,"catch","P",1
139,81417,"catch","Q",1
140,10454,"catch","P",1
141,14316,"catch","P",1
142,10445,"catch","Q",1
143,4585,"catch","Q",1
144,5854,"catch","Q",1
145,7873,"catch","Q",1
146,9940,"catch","Q",1
147,4660,"catch","P",1
148,7538,"catch","P",1
149,8753,"catch","P",1
