"workerid","rt","trial_type","response1","response2","pass"
0,12701,"catch",1,1,1
1,13114,"catch",1,1,1
2,14318,"catch",1,1,1
3,10565,"catch",1,1,1
4,12743,"catch",1,1,1
5,10818,"catch",1,1,1
6,16547,"catch",1,1,1
7,13699,"catch",1,1,1
8,14896,"catch",1,1,1
9,9057,"catch",1,1,1
10,8821,"catch",1,1,1
11,12992,"catch",1,1,1
12,17210,"catch",1,1,1
13,18257,"catch",1,1,1
14,8040,"catch",1,1,1
15,17146,"catch",1,1,1
16,18481,"catch",1,1,1
17,13991,"catch",1,1,1
18,11227,"catch",1,1,1
19,10479,"catch",1,1,1
20,10188,"catch",1,1,1
21,8568,"catch",1,1,1
22,12234,"catch",1,1,1
23,13148,"catch",1,1,1
24,19186,"catch",1,1,1
25,9417,"catch",1,1,1
26,16428,"catch",1,1,1
27,10692,"catch",1,1,1
28,9372,"catch",1,1,1
29,7198,"catch",1,1,1
30,16553,"catch",1,1,1
31,11779,"catch",1,1,1
32,21384,"catch",1,1,1
33,12852,"catch",1,1,1
34,19183,"catch",1,1,1
35,11088,"catch",1,1,1
36,55994,"catch",1,1,1
37,21352,"catch",1,1,1
38,24560,"catch",1,1,1
39,9912,"catch",1,1,1
